,NAME,ADDRESS_1,CATE,SUBCATE,STATION_NAME,LAT_1,LON_1
19,망향비빔국수금천직영점,서울 금천구 가산디지털1로 186-0,맛집,한식,가산디지털단지,37.48191309,126.8815811
20,명륜진사갈비독산점,서울 금천구 시흥대로 447-0,맛집,한식,독산,37.47356478,126.8978903
21,명륜진사갈비석수역점,서울 금천구 시흥대로 10-0,맛집,한식,석수,37.43498672,126.9034307
22,명륜진사갈비시흥사거리점,서울 금천구 시흥대로 266-0,맛집,한식,금천구청,37.45752185,126.8999192
23,미분당가산점,서울 금천구 디지털로10길 69-0,맛집,외국식,가산디지털단지,37.47530023,126.8908539
24,본가집가마솥설렁탕금천구청본점,서울 금천구 시흥대로 269-0,맛집,한식,금천구청,37.45765662,126.8989418
25,부뚜막청국장,서울 금천구 독산로 242-0,맛집,한식,독산,37.46837833,126.9024057
26,북창동순두부독산점,서울 금천구 시흥대로123길 14-0,맛집,한식,독산,37.47049161,126.8972654
27,빵집아저씨,서울 금천구 독산로 112-0,맛집,간이음식,독산,37.45738265,126.905616
28,삼숙이 갈비,서울 금천구 벚꽃로 308-0,맛집,한식,금천구청,37.48198703,126.8830881
29,솔향기해물칼국수,서울 금천구 금하로 722-0,맛집,한식,독산,37.45040766,126.9099224
30,순댕이네얼큰수제비,서울 금천구 시흥대로136길 1-0,맛집,한식,가산디지털단지,37.47234397,126.8993268
31,신선설농탕독산점,서울 금천구 시흥대로 405-0,맛집,한식,독산,37.46995109,126.897565
32,아웃백스테이크하우스가산점,서울 금천구 디지털로10길 9-0,맛집,외국식,가산디지털단지,37.47761902,126.8890553
33,암소한마리,서울 금천구 시흥대로 371-0,맛집,한식,독산,37.46669371,126.8973089
34,어물전금천독산점,서울 금천구 시흥대로152길 11-43,맛집,한식,구로디지털단지,37.47854595,126.9005716
35,왕게수산시흥동점,서울 금천구 시흥대로 182-0,맛집,외국식,독산,37.45017016,126.9027602
36,우리소양평해장국본점,서울 금천구 범안로 1244-0,맛집,한식,독산,37.46625114,126.9000514
37,우시장3호집,서울 금천구 시흥대로 364-0,맛집,한식,독산,37.46607664,126.8980703
38,원조홍어집,서울 금천구 금하로14길 2-3,맛집,외국식,금천구청,37.45332697,126.9035539
39,은행골가산디지털단지역점,서울 금천구 가산디지털1로 171-0,맛집,외국식,가산디지털단지,37.4807624,126.8806788
40,은행골시흥분점,서울 금천구 시흥대로 198-0,맛집,외국식,금천구청,37.45160777,126.9021563
41,인크커피가산점,서울 금천구 가산디지털2로 127-20,맛집,카페/찻집,가산디지털단지,37.47933939,126.8780731
42,진영면옥,서울 금천구 가산로 22-5,맛집,한식,독산,37.47156992,126.9003999
43,차림,서울 금천구 가산디지털1로 131-0,맛집,한식,가산디지털단지,37.47708291,126.8819822
44,참숯구이육향,서울 금천구 가산디지털1로 225-0,맛집,한식,가산디지털단지,37.48507253,126.8788845
45,채선당금천구청점,서울 금천구 시흥대로 277-0,맛집,외국식,금천구청,37.45834121,126.8985235
46,춘천옥,서울 금천구 디지털로12길 19-0,맛집,외국식,가산디지털단지,37.47791045,126.8896829
