"T_IDX","STATION_NAME","T_NAME","CATE","ADDRESS","LAT","LON"
168,"경찰병원","명인밥상","맛집","서울 송파구 송이로 157-0",37.49319,127.12524
169,"경찰병원","산삼청각","맛집","서울 송파구 송이로 151-0",37.493507,127.124916
170,"경찰병원","오향가가락본점","맛집","서울 송파구 송이로 106-0",37.49676,127.121376
171,"경찰병원","취영루송파점","맛집","서울 송파구 송이로 162-0",37.49261,127.124954
172,"경찰병원","가락골마산아구찜","맛집","서울 송파구 송이로19길 3-0",37.49746,127.12172
173,"고덕","샘터근린공원","관광지","서울 강동구",37.56210332,127.1577448
174,"고덕","고덕수변생태공원","관광지","서울 강동구",37.57021348,127.1557727
175,"고덕","숟가락반상마실강동점","맛집","서울 강동구 동남로73길 31-0",37.552673,127.154465
176,"고덕","스테이지28","맛집","서울 강동구 아리수로61길 105-0",37.565826,127.14695
177,"고덕","우드멜로우","맛집","서울 강동구 아리수로 243-0",37.563072,127.1551
178,"고덕","이마트/명일점","관광지","서울 강동구 고덕로 276-0",37.55463195,127.1559673
179,"고덕","강동아트센터","관광지","서울 강동구 동남로 870-0",37.55129901,127.1576338
180,"고덕","주양쇼핑","관광지","서울 강동구 고덕로62길 55-0",37.55246551,127.1536341
181,"고덕","브이센터","관광지","서울 강동구 아리수로61길 103-0",37.56539523,127.1477224
182,"고덕","강동아트센터/대극장한강","관광지","서울 강동구 동남로 870-0",37.55104904,127.1575505
183,"고려대","오소리순대본점","맛집","서울 동대문구 회기로4길 16-0",37.59056,127.03716
184,"고려대","제기시장","관광지","서울 동대문구 제기로 19-0",37.58626642,127.0350056
185,"고려대","홍릉숲","관광지","서울 동대문구 회기로 57-0",37.59532099,127.0448936
186,"고려대","영휘원","관광지","서울 동대문구 홍릉로 90-0",37.58976607,127.043977
187,"고려대","보타사마애불","관광지","서울 성북구 개운사길 60-46",37.59082142,127.0311171
188,"고려대","팔선생제기점","맛집","서울 동대문구 회기로 34-0",37.59108,127.040245
189,"고려대","세종대왕기념관","관광지","서울 동대문구 회기로 56-0",37.5908215,127.0435604
190,"고려대","큰대문집","맛집","서울 성북구 종암로14길 6-21",37.596294,127.03614
191,"고려대","KOCCA콘텐츠문화광장","관광지","서울 동대문구 회기로 66-0",37.591377,127.0451713
192,"고려대","김희수기념수림아트센터","관광지","서울 동대문구 홍릉로 118-0",37.59057152,127.0428938
193,"고려대","한국경제발전전시관","관광지","서울 동대문구 회기로 47-0",37.59487321,127.043052
194,"고려대","고려대아이스링크","관광지","서울 성북구 안암로 145-0",37.59351552,127.0262008
195,"고려대","고려시장","관광지","서울 성북구",37.59529316,127.0368943
196,"고려대","홍능갈비집본점","맛집","서울 동대문구 제기로 85-0",37.586895,127.04267
197,"고속터미널","브루클린더버거조인트서래마을점","맛집","서울 서초구 서래로2길 27-0",37.496105,126.99974
198,"고속터미널","모던눌랑반포센트럴시티점","맛집","서울 서초구 사평대로 205-0",37.504494,127.00784
199,"고속터미널","원더볼즈플레이파크","관광지","서울 서초구 고무래로 22-0",37.50249818,127.0107031
200,"고속터미널","한생연/휴먼탐구과학관","관광지","서울 서초구 반포대로 300-0",37.50594216,127.0010651
201,"고속터미널","달빛광장","관광지","서울 서초구",37.51158038,126.997482
202,"고속터미널","반포쇼핑타운","관광지","서울 서초구 신반포로 165-0",37.5058033,127.0023149
203,"고속터미널","메가박스/센트럴","관광지","서울 서초구 신반포로 176-0",37.50508117,127.004037
204,"고속터미널","신세계백화점/강남점","관광지","서울 서초구 신반포로 176-0",37.50502562,127.0042314
205,"고속터미널","텍사스데브라질센트럴시티점","맛집","서울 서초구 사평대로 205-0",37.504494,127.00784
206,"고속터미널","서래본가","맛집","서울 서초구 사평대로 126-0",37.499767,126.99835
207,"고속터미널","산들해반포점","맛집","서울 서초구 반포대로 287-0",37.50433,127.00109
